Region,Symbol,Name,Price,Reason,Link
US,ACGL,Arch Capital Group Ltd.,93.92,KGV 8.802249 (Kein PEG),https://finance.yahoo.com/quote/ACGL
US,AFL,AFLAC Incorporated,110.31,KGV 14.4954 (Kein PEG),https://finance.yahoo.com/quote/AFL
US,AIZ,"Assurant, Inc.",228.16,KGV 13.912195 (Kein PEG),https://finance.yahoo.com/quote/AIZ
US,ALL,Allstate Corporation (The),212.98,KGV 6.9059663 (Kein PEG),https://finance.yahoo.com/quote/ALL
US,CB,Chubb Limited,296.18,KGV 12.376932 (Kein PEG),https://finance.yahoo.com/quote/CB
US,CINF,Cincinnati Financial Corporatio,167.59,KGV 12.469494 (Kein PEG),https://finance.yahoo.com/quote/CINF
US,CTRA,Coterra Energy Inc.,26.84,KGV 12.425925 (Kein PEG),https://finance.yahoo.com/quote/CTRA
US,DAL,"Delta Air Lines, Inc.",64.1,KGV 9.040902 (Kein PEG),https://finance.yahoo.com/quote/DAL
US,DHI,"D.R. Horton, Inc.",159.01,KGV 13.731433 (Kein PEG),https://finance.yahoo.com/quote/DHI
US,DVN,Devon Energy Corporation,37.06,KGV 8.740567 (Kein PEG),https://finance.yahoo.com/quote/DVN
US,FOX,Fox Corporation,58.26,KGV 13.092135 (Kein PEG),https://finance.yahoo.com/quote/FOX
US,FOXA,Fox Corporation,65.5,KGV 14.719102 (Kein PEG),https://finance.yahoo.com/quote/FOXA
US,GL,Globe Life Inc.,134.73,KGV 9.777213 (Kein PEG),https://finance.yahoo.com/quote/GL
US,GM,General Motors Company,73.52,KGV 14.030535 (Kein PEG),https://finance.yahoo.com/quote/GM
US,HIG,"The Hartford Insurance Group, I",137.03,KGV 11.213584 (Kein PEG),https://finance.yahoo.com/quote/HIG
US,L,Loews Corporation,107.87,KGV 15.633333 (Kein PEG),https://finance.yahoo.com/quote/L
US,MRK,"Merck & Company, Inc.",104.83,KGV 13.866403 (Kein PEG),https://finance.yahoo.com/quote/MRK
US,NEM,Newmont Corporation,90.73,KGV 14.110421 (Kein PEG),https://finance.yahoo.com/quote/NEM
